variant,documents,duplicate_documents,pii_like_hits,mean_hdqs
raw_noisy_baseline,13,2,9,0.7806062336146777
clean_only,13,2,9,0.8216717430322581
pii_redact_only,13,2,0,0.7903550740872558
exact_dedup_only,11,0,6,0.7672654955835173
near_dedup_only,10,0,3,0.7665924537182383
jaccard_near_dedup_only,10,0,3,0.7665924537182383
rule_filter_only,9,2,9,0.8593527664404098
rule_quality_filter,9,2,9,0.8593527664404098
perplexity_filter_proxy,4,1,0,0.9396492442450127
proxy_perplexity_filter,4,1,0,0.9396492442450127
hdqs_filter,6,1,0,0.9024675116276012
hdqs_curriculum,6,1,0,0.9024675116276012
full_pipeline_without_clean,6,0,0,0.8824387863482993
full_pipeline_without_redact,6,0,3,0.9282605515748249
full_pipeline_without_exact_dedup,6,0,0,0.9180734362673206
full_pipeline_without_near_dedup,7,0,0,0.9041966090412632
full_without_hdqs,6,0,0,0.9180734362673206
full_pipeline,6,0,0,0.9180734362673206
full_pipeline_without_hdqs,6,0,0,0.9180734362673206
minhash_lsh_near_dedup_only,10,0,3,0.7665924537182383
random_retention_matched_baseline,6,1,6,0.8117739342341989
length_matched_baseline,6,1,9,0.8199306396129974
quality_retention_matched_baseline,6,1,0,0.9024675116276012
