document_index,score,lexical_diversity,char_entropy,token_entropy,repetition_penalty,ngram_repetition_penalty,pii_density_penalty,url_html_noise_penalty,non_linguistic_symbol_penalty,length_prior,language_consistency,optional_lm_surprisal,duplicate_cluster_penalty
0,0.7726869569808871,0.8478260869565217,0.9577683834586285,0.7743247791450473,0.967032967032967,0.9777777777777777,0.6153846153846154,0.0,0.6795069337442219,1.0,0.9919839679358717,1.0,1.0
1,0.6133682225187076,0.125,0.7215834768562785,0.1981203125901445,0.13043478260869568,0.13636363636363635,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.7726869569808871,0.8478260869565217,0.9577683834586285,0.7743247791450473,0.967032967032967,0.9777777777777777,0.6153846153846154,0.0,0.6795069337442219,1.0,0.9919839679358717,1.0,1.0
3,0.9440438031032351,0.9122807017543859,0.876193613713661,0.7055259721605851,1.0,1.0,1.0,1.0,0.8987341772151899,1.0,1.0,1.0,1.0
4,0.9352736285912344,0.9298245614035088,0.8903287535021089,0.7115673921214699,1.0,1.0,1.0,1.0,0.7827160493827161,1.0,0.99079754601227,1.0,1.0
5,0.8325840372302414,0.8823529411764706,0.885156134857793,0.7287457687512797,0.9850746268656716,1.0,1.0,0.0,0.8282208588957055,1.0,1.0,1.0,1.0
6,0.9352736285912344,0.9298245614035088,0.8903287535021089,0.7115673921214699,1.0,1.0,1.0,1.0,0.7827160493827161,1.0,0.99079754601227,1.0,1.0
7,0.7739959142363076,0.8494623655913979,0.9565140495313994,0.7767165415679522,0.967391304347826,0.978021978021978,0.620253164556962,0.0,0.6834094368340944,1.0,0.9920948616600791,1.0,1.0
8,0.8236240555553144,0.863013698630137,0.8940918002238714,0.7368962633457437,0.9583333333333334,0.971830985915493,1.0,0.0,0.8072289156626506,1.0,1.0,1.0,1.0
9,0.6014524859500122,0.08333333333333333,0.7133062093653153,0.25,0.08510638297872342,0.08695652173913038,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.6037845531575804,0.1,0.7169667551086263,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.5951008774008226,0.07142857142857142,0.6919404984799614,0.25,0.07272727272727275,0.07407407407407407,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.9440059166943469,0.9411764705882353,0.8818763060816996,0.7462269728033513,1.0,1.0,1.0,1.0,0.8312236286919832,1.0,1.0,1.0,1.0
