variant,retention_ratio,retained_documents,mean_hdqs,pii_like_hits,perplexity_mean,status
raw_noisy_baseline,1.0,13,0.7806062336146777,9,998585.9398935687,trained
clean_only,0.9422320970774226,13,0.8216717430322581,9,,data_only
pii_redact_only,0.9871816783455819,13,0.7903550740872558,0,,data_only
exact_dedup_only,0.8198598530165784,11,0.7672654955835173,6,,data_only
near_dedup_only,0.7075713553238763,10,0.7665924537182383,3,,data_only
jaccard_near_dedup_only,0.7075713553238763,10,0.7665924537182383,3,,data_only
rule_filter_only,0.789779524867544,9,0.8593527664404098,9,957009.2139492035,trained
rule_quality_filter,0.789779524867544,9,0.8593527664404098,9,,data_only
perplexity_filter_proxy,0.286959494103572,4,0.9396492442450127,0,,data_only
proxy_perplexity_filter,0.286959494103572,4,0.9396492442450127,0,,data_only
hdqs_filter,0.45564860707571353,6,0.9024675116276012,0,981624.0684719377,trained
hdqs_curriculum,0.45564860707571353,6,0.9024675116276012,0,,data_only
full_pipeline_without_clean,0.49307810630661425,6,0.8824387863482993,0,,data_only
full_pipeline_without_redact,0.4667578191762092,6,0.9282605515748249,3,,data_only
full_pipeline_without_exact_dedup,0.46248504529140316,6,0.9180734362673206,0,,data_only
full_pipeline_without_near_dedup,0.5569988036233122,7,0.9041966090412632,0,,data_only
full_without_hdqs,0.46248504529140316,6,0.9180734362673206,0,,data_only
full_pipeline,0.46248504529140316,6,0.9180734362673206,0,844138.9457508345,trained
full_pipeline_without_hdqs,0.46248504529140316,6,0.9180734362673206,0,,data_only
minhash_lsh_near_dedup_only,0.7075713553238763,10,0.7665924537182383,3,,data_only
random_retention_matched_baseline,0.4788924970090583,6,0.8117739342341989,6,,data_only
length_matched_baseline,0.583831823619894,6,0.8199306396129974,9,,data_only
quality_retention_matched_baseline,0.45564860707571353,6,0.9024675116276012,0,,data_only
