variant,seed,step,train_loss,train_next_char_accuracy,val_loss,val_next_char_accuracy
raw_noisy_baseline,23,0,14.517464637756348,0.03125,15.377758026123047,0.03125
raw_noisy_baseline,23,3,14.450176239013672,0.0390625,15.0939359664917,0.015625
raw_noisy_baseline,23,6,12.913738250732422,0.0234375,13.814095497131348,0.0078125
rule_filter_only,23,0,15.720023155212402,0.015625,15.377758026123047,0.03125
rule_filter_only,23,3,14.615375518798828,0.0546875,15.045894622802734,0.015625
rule_filter_only,23,6,12.90896224975586,0.015625,13.771568298339844,0.0078125
hdqs_filter,23,0,15.43037223815918,0.0234375,15.377758026123047,0.03125
hdqs_filter,23,3,14.658903121948242,0.0078125,15.03629207611084,0.015625
hdqs_filter,23,6,12.040307998657227,0.03125,13.796963691711426,0.0078125
full_pipeline,23,0,15.977405548095703,0.015625,15.377758026123047,0.03125
full_pipeline,23,3,15.28582763671875,0.015625,14.992115020751953,0.015625
full_pipeline,23,6,12.865230560302734,0.015625,13.646072387695312,0.0078125
