variant,retention_ratio,retained_documents,mean_hdqs,pii_like_hits,perplexity_mean,status
raw_noisy_baseline,1.0,49,0.8046430342518434,18,925491.3130419138,trained
clean_only,0.9452713105958102,49,0.8444015081314276,18,,data_only
pii_redact_only,0.9929081323193206,49,0.8047421529695074,0,,data_only
exact_dedup_only,0.7972285727616293,38,0.8201043353921923,15,,data_only
near_dedup_only,0.673354173470816,32,0.8317301151233172,12,,data_only
jaccard_near_dedup_only,0.673354173470816,32,0.8317301151233172,12,,data_only
rule_filter_only,0.8483646713012644,38,0.8627311281376286,18,863574.6643605457,trained
rule_quality_filter,0.8483646713012644,38,0.8627311281376286,18,,data_only
perplexity_filter_proxy,0.4705360892082303,22,0.9087644811221498,6,,data_only
proxy_perplexity_filter,0.4705360892082303,22,0.9087644811221498,6,,data_only
hdqs_filter,0.7336817057808053,34,0.8752316674801932,6,854940.1741203051,trained
hdqs_curriculum,0.7336817057808053,34,0.8752316674801932,6,,data_only
full_pipeline_without_clean,0.5820930341062847,27,0.8651395192473917,0,,data_only
full_pipeline_without_redact,0.5817197779125647,28,0.9157569027751419,12,,data_only
full_pipeline_without_exact_dedup,0.5273643447020949,26,0.9152032302318843,0,,data_only
full_pipeline_without_near_dedup,0.5884383893995241,29,0.9155235508756088,0,,data_only
full_without_hdqs,0.5769607614426352,28,0.906228547053607,0,,data_only
full_pipeline,0.5273643447020949,26,0.9152032302318843,0,898811.7804628533,trained
full_pipeline_without_hdqs,0.5769607614426352,28,0.906228547053607,0,,data_only
minhash_lsh_near_dedup_only,0.673354173470816,32,0.8317301151233172,12,,data_only
random_retention_matched_baseline,0.5248448653944852,26,0.7959411787011279,12,,data_only
length_matched_baseline,0.621144963374236,26,0.8561507801138007,18,,data_only
quality_retention_matched_baseline,0.557691410441842,26,0.8951284475430228,6,,data_only
