variant,documents,duplicate_documents,pii_like_hits,mean_hdqs
raw_noisy_baseline,18,2,14,0.780678577869087
clean_only,18,2,14,0.8221196259457156
pii_redact_only,18,2,0,0.7861502471013734
exact_dedup_only,16,0,11,0.7730025567152463
near_dedup_only,13,0,8,0.7767497767563841
jaccard_near_dedup_only,13,0,8,0.7767497767563841
rule_filter_only,13,2,14,0.8487892300757338
rule_quality_filter,13,2,14,0.8487892300757338
perplexity_filter_proxy,7,1,3,0.902216344309073
proxy_perplexity_filter,7,1,3,0.902216344309073
hdqs_filter,9,1,3,0.8831526934812525
hdqs_curriculum,9,1,3,0.8831526934812525
full_pipeline_without_clean,9,0,0,0.8560623986232341
full_pipeline_without_redact,9,0,8,0.9072476492333446
full_pipeline_without_exact_dedup,9,0,0,0.890197365018717
full_pipeline_without_near_dedup,11,0,0,0.8877448101816463
full_without_hdqs,9,0,0,0.890197365018717
full_pipeline,9,0,0,0.890197365018717
full_pipeline_without_hdqs,9,0,0,0.890197365018717
minhash_lsh_near_dedup_only,13,0,8,0.7767497767563841
random_retention_matched_baseline,9,1,9,0.7953783915982733
length_matched_baseline,9,2,14,0.8352187760637405
quality_retention_matched_baseline,9,1,3,0.8831526934812525
