variant,residual_pii_like_hits,mean_hdqs,next_char_accuracy_mean,perplexity_mean,status
raw_noisy_baseline,14,0.780678577869087,0.03125,544605.0456011071,trained
clean_only,14,0.8221196259457156,,,data_only
pii_redact_only,0,0.7861502471013734,,,data_only
exact_dedup_only,11,0.7730025567152463,,,data_only
near_dedup_only,8,0.7767497767563841,,,data_only
jaccard_near_dedup_only,8,0.7767497767563841,,,data_only
rule_filter_only,14,0.8487892300757338,0.03125,499166.0877124346,trained
rule_quality_filter,14,0.8487892300757338,,,data_only
perplexity_filter_proxy,3,0.902216344309073,,,data_only
proxy_perplexity_filter,3,0.902216344309073,,,data_only
hdqs_filter,3,0.8831526934812525,0.03125,490026.9981855154,trained
hdqs_curriculum,3,0.8831526934812525,,,data_only
full_pipeline_without_clean,0,0.8560623986232341,,,data_only
full_pipeline_without_redact,8,0.9072476492333446,,,data_only
full_pipeline_without_exact_dedup,0,0.890197365018717,,,data_only
full_pipeline_without_near_dedup,0,0.8877448101816463,,,data_only
full_without_hdqs,0,0.890197365018717,,,data_only
full_pipeline,0,0.890197365018717,0.03125,473494.64837886137,trained
full_pipeline_without_hdqs,0,0.890197365018717,,,data_only
minhash_lsh_near_dedup_only,8,0.7767497767563841,,,data_only
random_retention_matched_baseline,9,0.7953783915982733,,,data_only
length_matched_baseline,14,0.8352187760637405,,,data_only
quality_retention_matched_baseline,3,0.8831526934812525,,,data_only
