document_index,score,lexical_diversity,char_entropy,token_entropy,repetition_penalty,ngram_repetition_penalty,pii_density_penalty,url_html_noise_penalty,non_linguistic_symbol_penalty,length_prior,language_consistency,optional_lm_surprisal,duplicate_cluster_penalty
0,0.9111879569329674,0.8070175438596491,0.8986925977392992,0.671513307677412,0.8928571428571429,0.9272727272727272,1.0,1.0,0.8987341772151899,1.0,1.0,1.0,1.0
1,0.5951008774008226,0.07142857142857142,0.6919404984799614,0.25,0.07272727272727275,0.07407407407407407,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.8993671105665351,0.9230769230769231,0.9223217082806281,0.6414445081270118,1.0,1.0,1.0,0.65,0.8052434456928839,1.0,1.0,1.0,1.0
3,0.9197876946192097,0.782608695652174,0.8843110513543977,0.703747531719275,0.9411764705882353,0.9701492537313433,1.0,1.0,0.89587852494577,1.0,0.9920634920634921,1.0,1.0
4,0.8644281375712898,0.8194444444444444,0.9473198773477784,0.7186978083287432,0.9154929577464789,0.9428571428571428,0.5588235294117647,1.0,0.8260869565217391,1.0,1.0,1.0,1.0
5,0.6133682225187076,0.125,0.7215834768562785,0.1981203125901445,0.13043478260869568,0.13636363636363635,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.8263939256140954,0.8611111111111112,0.9001942196888655,0.7338972657977769,0.9436619718309859,0.9714285714285714,1.0,0.0,0.8554216867469879,1.0,0.9951807228915662,1.0,1.0
7,0.764385799580416,0.7872340425531915,0.9660946946380351,0.7551418744032015,0.967741935483871,0.9782608695652174,0.6341463414634146,0.0,0.6419753086419753,1.0,0.9918032786885246,1.0,1.0
8,0.764385799580416,0.7872340425531915,0.9660946946380351,0.7551418744032015,0.967741935483871,0.9782608695652174,0.6341463414634146,0.0,0.6419753086419753,1.0,0.9918032786885246,1.0,1.0
9,0.604248271631904,0.1,0.7215111961569972,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.9006857824965937,0.703125,0.9276921188320328,0.6643080019903765,0.8888888888888888,0.9354838709677419,1.0,1.0,0.8734177215189873,1.0,1.0,1.0,1.0
11,0.9197876946192097,0.782608695652174,0.8843110513543977,0.703747531719275,0.9411764705882353,0.9701492537313433,1.0,1.0,0.89587852494577,1.0,0.9920634920634921,1.0,1.0
12,0.7657755046213367,0.7894736842105263,0.964990388194229,0.7577258161644074,0.9680851063829787,0.978494623655914,0.6385542168674698,0.0,0.6463414634146342,1.0,0.9919191919191919,1.0,1.0
13,0.6037845531575804,0.1,0.7169667551086263,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.6014524859500122,0.08333333333333333,0.7133062093653153,0.25,0.08510638297872342,0.08695652173913038,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.7913386458710977,0.8732394366197183,0.9343728218046345,0.7356992218004735,0.9857142857142858,1.0,0.6721311475409837,0.0,0.7709611451942741,1.0,1.0,1.0,1.0
16,0.8064659055536659,0.8035714285714286,0.9155038193457005,0.6661986342255857,1.0,1.0,1.0,0.0,0.6513317191283293,1.0,1.0,1.0,1.0
17,0.9002700333577063,0.925,0.9195444265076954,0.6464910118609203,1.0,1.0,1.0,0.65,0.8109090909090909,1.0,1.0,1.0,1.0
