variant,retention_ratio,retained_documents,mean_hdqs,pii_like_hits,perplexity_mean,status
raw_noisy_baseline,1.0,18,0.780678577869087,14,544605.0456011071,trained
clean_only,0.9310029998695709,18,0.8221196259457156,14,,data_only
pii_redact_only,0.9842180774748924,18,0.7861502471013734,0,,data_only
exact_dedup_only,0.8553541150384766,16,0.7730025567152463,11,,data_only
near_dedup_only,0.698839180905178,13,0.7767497767563841,8,,data_only
jaccard_near_dedup_only,0.698839180905178,13,0.7767497767563841,8,,data_only
rule_filter_only,0.8044867614451545,13,0.8487892300757338,14,499166.0877124346,trained
rule_quality_filter,0.8044867614451545,13,0.8487892300757338,14,,data_only
perplexity_filter_proxy,0.3672883787661406,7,0.902216344309073,3,,data_only
proxy_perplexity_filter,0.3672883787661406,7,0.902216344309073,3,,data_only
hdqs_filter,0.48610929959566973,9,0.8831526934812525,3,490026.9981855154,trained
hdqs_curriculum,0.48610929959566973,9,0.8831526934812525,3,,data_only
full_pipeline_without_clean,0.5291509064823269,9,0.8560623986232341,0,,data_only
full_pipeline_without_redact,0.49967392722055565,9,0.9072476492333446,8,,data_only
full_pipeline_without_exact_dedup,0.49041346028433547,9,0.890197365018717,0,,data_only
full_pipeline_without_near_dedup,0.590322159906091,11,0.8877448101816463,0,,data_only
full_without_hdqs,0.49041346028433547,9,0.890197365018717,0,,data_only
full_pipeline,0.49041346028433547,9,0.890197365018717,0,473494.64837886137,trained
full_pipeline_without_hdqs,0.49041346028433547,9,0.890197365018717,0,,data_only
minhash_lsh_near_dedup_only,0.698839180905178,13,0.7767497767563841,8,,data_only
random_retention_matched_baseline,0.5206730142167731,9,0.7953783915982733,9,,data_only
length_matched_baseline,0.6284074605451937,9,0.8352187760637405,14,,data_only
quality_retention_matched_baseline,0.48610929959566973,9,0.8831526934812525,3,,data_only
