document_index,score,lexical_diversity,char_entropy,repetition_penalty,pii_density_penalty,url_html_noise_penalty,non_linguistic_symbol_penalty,length_prior,language_consistency,duplicate_cluster_penalty
0,0.8017200982080155,0.8088235294117647,0.9063694890278754,0.9701492537313433,1.0,0.0,0.7373737373737373,1.0,1.0,1.0
1,0.7457970338191094,0.7415730337078652,0.939760501802275,1.0,0.625,0.0,0.7350427350427351,1.0,1.0,1.0
2,0.8930017681917719,0.8356164383561644,0.9901050242511813,1.0,1.0,0.65,0.6682926829268292,1.0,1.0,1.0
3,0.8159686769268784,0.8611111111111112,0.9487541733215477,1.0,1.0,0.0,0.7178841309823678,1.0,1.0,1.0
4,0.7069992443472108,0.1,0.7215111961569972,0.10344827586206895,1.0,1.0,1.0,1.0,1.0,1.0
5,0.9159534074469082,0.7142857142857143,0.9220371974634644,0.9420289855072463,1.0,1.0,0.7666666666666666,1.0,1.0,1.0
6,0.7069992443472108,0.1,0.7215111961569972,0.10344827586206895,1.0,1.0,1.0,1.0,1.0,1.0
7,0.7979996663407599,0.8142857142857143,0.9609281293960082,0.9710144927536232,1.0,0.0,0.6464646464646464,1.0,1.0,1.0
8,0.897332622827107,0.8666666666666667,0.9774879770320858,0.9864864864864865,1.0,0.65,0.7104072398190044,1.0,0.9880952380952381,1.0
9,0.9584118151532266,0.9242424242424242,0.921325077484781,1.0,1.0,1.0,0.8217270194986073,1.0,1.0,1.0
10,0.7854865562230998,0.8,0.9863085022008509,0.9864864864864865,1.0,0.0,0.5151515151515151,1.0,1.0,1.0
11,0.8871875138378613,0.8648648648648649,0.9701767740772287,1.0,0.5714285714285714,1.0,0.7767441860465116,1.0,1.0,1.0
12,0.9346893624489208,0.7922077922077922,0.929524794458404,1.0,1.0,1.0,0.7653061224489796,1.0,0.9863945578231292,1.0
13,0.9351206327841568,0.782608695652174,0.9752648657042291,1.0,1.0,1.0,0.7326478149100257,1.0,0.9863481228668942,1.0
14,0.8952217899105906,0.8289473684210527,0.9813604076388878,1.0,1.0,0.65,0.7097505668934241,1.0,0.9881656804733728,1.0
15,0.8135647211346546,0.8441558441558441,0.9507360588705845,1.0,1.0,0.0,0.7136258660508084,1.0,1.0,1.0
16,0.9291747127361554,0.7903225806451613,0.8977199299872509,0.9836065573770492,1.0,1.0,0.7666666666666666,1.0,1.0,1.0
17,0.7934288652328878,0.7945205479452054,0.9496067061724812,0.9861111111111112,1.0,0.0,0.6213592233009708,1.0,1.0,1.0
18,0.8907066041283553,0.8717948717948718,0.9609621345355706,1.0,0.589041095890411,1.0,0.786046511627907,1.0,1.0,1.0
19,0.7852670287299781,0.782051282051282,0.9920944152485083,0.974025974025974,1.0,0.0,0.550561797752809,1.0,0.9874213836477987,1.0
20,0.7064311892161644,0.1,0.7169667551086263,0.10344827586206895,1.0,1.0,1.0,1.0,1.0,1.0
21,0.8211987955380123,0.8955223880597015,0.9662594120126592,1.0,1.0,0.0,0.707808564231738,1.0,1.0,1.0
22,0.7103318339176937,0.1111111111111111,0.7215435602304383,0.11538461538461542,1.0,1.0,1.0,1.0,1.0,1.0
23,0.7998064080936798,0.7792207792207793,0.9665723249757614,0.9736842105263158,1.0,0.0,0.6868686868686869,1.0,1.0,1.0
24,0.9143150411124483,0.7027027027027027,0.9490603551259614,0.9452054794520548,1.0,1.0,0.7339901477832512,1.0,1.0,1.0
25,0.9351206327841568,0.782608695652174,0.9752648657042291,1.0,1.0,1.0,0.7326478149100257,1.0,0.9863481228668942,1.0
26,0.9481138616921072,0.8095238095238095,0.8864981951241593,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0
27,0.9367367874724352,0.75,0.899449855335037,1.0,1.0,1.0,0.8444444444444444,1.0,1.0,1.0
28,0.8907066041283553,0.8717948717948718,0.9609621345355706,1.0,0.589041095890411,1.0,0.786046511627907,1.0,1.0,1.0
29,0.7230504364355357,0.6936936936936937,1.0,0.9181818181818182,0.6808510638297872,0.0,0.5859969558599696,1.0,0.9915074309978769,1.0
30,0.7064311892161644,0.1,0.7169667551086263,0.10344827586206895,1.0,1.0,1.0,1.0,1.0,1.0
31,0.9467481600883177,0.8507462686567164,0.9121279009387144,1.0,1.0,1.0,0.8111111111111111,1.0,1.0,1.0
32,0.9464494689137444,0.8360655737704918,0.9466412886505742,1.0,1.0,1.0,0.7888888888888889,1.0,1.0,1.0
33,0.7906553559401728,0.7976190476190477,0.9502128574311515,0.9879518072289156,1.0,0.0,0.5930735930735931,1.0,1.0,1.0
34,0.8962266977082155,0.8356164383561644,0.8993560675149382,1.0,1.0,0.65,0.784841075794621,1.0,1.0,1.0
35,0.9143150411124483,0.7027027027027027,0.9490603551259614,0.9452054794520548,1.0,1.0,0.7339901477832512,1.0,1.0,1.0
36,0.9565598072879625,0.873015873015873,0.9683514741767164,1.0,1.0,1.0,0.8111111111111111,1.0,1.0,1.0
