dataset_id,method_name,rank,metric
c4_en_v2_100m,perplexity_proxy_filter,1,valid_nll_nats_per_token
c4_en_v2_100m,random_same_keep_rate,2,valid_nll_nats_per_token
c4_en_v2_100m,c4_quality_filter,3,valid_nll_nats_per_token
c4_en_v2_100m,exact_dedup,4,valid_nll_nats_per_token
c4_en_v2_100m,raw,5,valid_nll_nats_per_token
c4_en_v2_100m,urd_fixed,6,valid_nll_nats_per_token
c4_en_v2_100m,length_filter,7,valid_nll_nats_per_token
openwebtext_v2_100m,urd_fixed,1,valid_nll_nats_per_token
openwebtext_v2_100m,exact_dedup,2,valid_nll_nats_per_token
openwebtext_v2_100m,raw,3,valid_nll_nats_per_token
openwebtext_v2_100m,length_filter,4,valid_nll_nats_per_token
openwebtext_v2_100m,c4_quality_filter,5,valid_nll_nats_per_token
openwebtext_v2_100m,perplexity_proxy_filter,6,valid_nll_nats_per_token
openwebtext_v2_100m,random_same_keep_rate,7,valid_nll_nats_per_token
