dataset_id,method_name,seed,model_scale,valid_loss,valid_ppl,tokens_seen,training_manifest_path
openwebtext_20m,raw,13,small,146.23676300048828,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/raw/seed_13/training_manifest.json
openwebtext_20m,raw,42,small,144.32579803466797,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/raw/seed_42/training_manifest.json
openwebtext_20m,raw,101,small,149.16464233398438,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/raw/seed_101/training_manifest.json
openwebtext_20m,exact_dedup,13,small,146.23676300048828,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/exact_dedup/seed_13/training_manifest.json
openwebtext_20m,exact_dedup,42,small,144.32579803466797,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/exact_dedup/seed_42/training_manifest.json
openwebtext_20m,exact_dedup,101,small,149.16464233398438,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/exact_dedup/seed_101/training_manifest.json
openwebtext_20m,length_filter,13,small,150.4198226928711,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/length_filter/seed_13/training_manifest.json
openwebtext_20m,length_filter,42,small,146.24440002441406,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/length_filter/seed_42/training_manifest.json
openwebtext_20m,length_filter,101,small,147.0206527709961,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/length_filter/seed_101/training_manifest.json
openwebtext_20m,urd_fixed,13,small,146.23676300048828,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/urd_fixed/seed_13/training_manifest.json
openwebtext_20m,urd_fixed,42,small,144.32579803466797,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/urd_fixed/seed_42/training_manifest.json
openwebtext_20m,urd_fixed,101,small,149.16464233398438,485165195.4097903,128,artifacts/localmax_training/openwebtext_20m/urd_fixed/seed_101/training_manifest.json
c4_en_20m,raw,13,small,151.12794494628906,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/raw/seed_13/training_manifest.json
c4_en_20m,raw,42,small,142.7844009399414,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/raw/seed_42/training_manifest.json
c4_en_20m,raw,101,small,143.75220489501953,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/raw/seed_101/training_manifest.json
c4_en_20m,exact_dedup,13,small,151.12794494628906,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/exact_dedup/seed_13/training_manifest.json
c4_en_20m,exact_dedup,42,small,142.7844009399414,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/exact_dedup/seed_42/training_manifest.json
c4_en_20m,exact_dedup,101,small,143.75220489501953,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/exact_dedup/seed_101/training_manifest.json
c4_en_20m,length_filter,13,small,152.69827270507812,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/length_filter/seed_13/training_manifest.json
c4_en_20m,length_filter,42,small,142.59290313720703,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/length_filter/seed_42/training_manifest.json
c4_en_20m,length_filter,101,small,142.47550201416016,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/length_filter/seed_101/training_manifest.json
c4_en_20m,urd_fixed,13,small,152.69827270507812,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/urd_fixed/seed_13/training_manifest.json
c4_en_20m,urd_fixed,42,small,144.03680419921875,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/urd_fixed/seed_42/training_manifest.json
c4_en_20m,urd_fixed,101,small,144.59556579589844,485165195.4097903,128,artifacts/localmax_training/c4_en_20m/urd_fixed/seed_101/training_manifest.json
