dataset_id,method_name,seed,model_scale,steps_completed,tokens_seen,valid_loss,valid_ppl_raw,valid_ppl_clipped,ppl_clipped,ppl_comparable,metric_for_comparison,training_manifest_path
openwebtext_20m,raw,13,small,100,25600,28.755306407809258,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/raw/seed_13/training_manifest.json
openwebtext_20m,raw,42,small,100,25600,27.247662737965584,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/raw/seed_42/training_manifest.json
openwebtext_20m,raw,101,small,100,25600,28.110114827752113,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/raw/seed_101/training_manifest.json
openwebtext_20m,exact_dedup,13,small,100,25600,28.755306407809258,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/exact_dedup/seed_13/training_manifest.json
openwebtext_20m,exact_dedup,42,small,100,25600,27.247662737965584,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/exact_dedup/seed_42/training_manifest.json
openwebtext_20m,exact_dedup,101,small,100,25600,28.110114827752113,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/exact_dedup/seed_101/training_manifest.json
openwebtext_20m,length_filter,13,small,100,25600,28.447844117879868,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/length_filter/seed_13/training_manifest.json
openwebtext_20m,length_filter,42,small,100,25600,27.952016070485115,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/length_filter/seed_42/training_manifest.json
openwebtext_20m,length_filter,101,small,100,25600,27.363243490457535,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/length_filter/seed_101/training_manifest.json
openwebtext_20m,urd_fixed,13,small,100,25600,28.157624900341034,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/urd_fixed/seed_13/training_manifest.json
openwebtext_20m,urd_fixed,42,small,100,25600,27.326697632670403,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/urd_fixed/seed_42/training_manifest.json
openwebtext_20m,urd_fixed,101,small,100,25600,27.620712235569954,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/openwebtext_20m/urd_fixed/seed_101/training_manifest.json
c4_en_20m,raw,13,small,100,25600,28.322829470038414,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/raw/seed_13/training_manifest.json
c4_en_20m,raw,42,small,100,25600,27.14650657773018,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/raw/seed_42/training_manifest.json
c4_en_20m,raw,101,small,100,25600,28.20879602432251,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/raw/seed_101/training_manifest.json
c4_en_20m,exact_dedup,13,small,100,25600,28.322829470038414,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/exact_dedup/seed_13/training_manifest.json
c4_en_20m,exact_dedup,42,small,100,25600,27.14650657773018,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/exact_dedup/seed_42/training_manifest.json
c4_en_20m,exact_dedup,101,small,100,25600,28.20879602432251,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/exact_dedup/seed_101/training_manifest.json
c4_en_20m,length_filter,13,small,100,25600,28.48379498720169,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/length_filter/seed_13/training_manifest.json
c4_en_20m,length_filter,42,small,100,25600,27.651816725730896,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/length_filter/seed_42/training_manifest.json
c4_en_20m,length_filter,101,small,100,25600,28.577119767665863,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/length_filter/seed_101/training_manifest.json
c4_en_20m,urd_fixed,13,small,100,25600,28.608991548419,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/urd_fixed/seed_13/training_manifest.json
c4_en_20m,urd_fixed,42,small,100,25600,27.095613554120064,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/urd_fixed/seed_42/training_manifest.json
c4_en_20m,urd_fixed,101,small,100,25600,28.11253573000431,,485165195.4097903,True,False,valid_loss,artifacts/localmax_training_strengthened/c4_en_20m/urd_fixed/seed_101/training_manifest.json
