dataset_id,method_name,seed,model_scale,steps_completed,tokens_seen,valid_nll_nats_per_token,valid_loss,valid_log_ppl,valid_ppl,ppl_overflow,metric_for_comparison,training_manifest,evaluation_manifest,evidence_level
openwebtext_v2_100m,raw,13,small,489,1001472,11.206074215471745,11.206074215471745,11.206074215471745,73576.00374422468,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/raw/seed_13/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,raw,42,small,489,1001472,11.155290488153696,11.155290488153696,11.155290488153696,69932.82994644293,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/raw/seed_42/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,raw,101,small,489,1001472,11.09790013357997,11.09790013357997,11.09790013357997,66032.35535794901,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/raw/seed_101/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,exact_dedup,13,small,489,1001472,11.206074215471745,11.206074215471745,11.206074215471745,73576.00374422468,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/exact_dedup/seed_13/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,exact_dedup,42,small,489,1001472,11.155290488153696,11.155290488153696,11.155290488153696,69932.82994644293,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/exact_dedup/seed_42/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,exact_dedup,101,small,489,1001472,11.09790013357997,11.09790013357997,11.09790013357997,66032.35535794901,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/exact_dedup/seed_101/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,length_filter,13,small,489,1001472,11.135894998908043,11.135894998908043,11.135894998908043,68589.51770525827,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/length_filter/seed_13/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,length_filter,42,small,489,1001472,11.115910097956657,11.115910097956657,11.115910097956657,67232.3693945945,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/length_filter/seed_42/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,length_filter,101,small,489,1001472,11.006970919668674,11.006970919668674,11.006970919668674,60292.97768721779,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/length_filter/seed_101/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
openwebtext_v2_100m,urd_fixed,13,small,489,1001472,11.244497127830982,11.244497127830982,11.244497127830982,76458.02128519514,False,valid_nll_nats_per_token,artifacts/localmax_v2_training/openwebtext_v2_100m/urd_fixed/seed_13/training_manifest.json,artifacts/localmax_v2_evaluation/evaluation_manifest.json,localmax_v2_training_1m_tokens
