variant,documents,duplicate_documents,pii_like_hits,mean_hdqs
raw_noisy_baseline,102,28,39,0.8082002142935474
clean_only,102,28,39,0.8486843191663868
pii_redact_only,102,28,0,0.8069924493630979
exact_dedup_only,74,0,33,0.8427568647356982
near_dedup_only,64,0,27,0.8502522525789185
jaccard_near_dedup_only,64,0,27,0.8502522525789185
rule_filter_only,80,12,39,0.864505278222692
rule_quality_filter,80,12,39,0.864505278222692
perplexity_filter_proxy,44,7,18,0.9116002651343742
proxy_perplexity_filter,44,7,18,0.9116002651343742
hdqs_filter,72,11,21,0.8751028584282857
hdqs_curriculum,72,11,21,0.8751028584282857
full_pipeline_without_clean,58,0,0,0.8679635339405667
full_pipeline_without_redact,60,0,27,0.9175787884509886
full_pipeline_without_exact_dedup,58,0,0,0.9118222918375225
full_pipeline_without_near_dedup,65,0,0,0.9114230362261059
full_without_hdqs,60,0,0,0.9077680041976565
full_pipeline,58,0,0,0.9118222918375225
full_pipeline_without_hdqs,60,0,0,0.9077680041976565
minhash_lsh_near_dedup_only,64,0,27,0.8502522525789185
random_retention_matched_baseline,58,16,24,0.8010697295249538
length_matched_baseline,58,9,39,0.8561316897543153
quality_retention_matched_baseline,58,8,21,0.8910767836708475
