document_index,score,lexical_diversity,char_entropy,token_entropy,repetition_penalty,ngram_repetition_penalty,pii_density_penalty,url_html_noise_penalty,non_linguistic_symbol_penalty,length_prior,language_consistency,optional_lm_surprisal,duplicate_cluster_penalty
0,0.9019801036781163,0.7027027027027027,0.9490603551259614,0.6908280811546648,0.9452054794520548,0.9722222222222222,1.0,1.0,0.7339901477832512,1.0,1.0,1.0,1.0
1,0.902029951293521,0.8539325842696629,1.0,0.7634626233902331,1.0,1.0,1.0,0.65,0.7251908396946565,1.0,1.0,1.0,1.0
2,0.8169181160464968,0.8082191780821918,0.9177318786080881,0.7197729756745108,0.9722222222222222,1.0,1.0,0.0,0.740139211136891,1.0,1.0,1.0,1.0
3,0.8974016941241915,0.8809523809523809,0.9571378335067546,0.7651782381119827,1.0,1.0,0.620253164556962,1.0,0.8,1.0,1.0,1.0,1.0
4,0.6037845531575804,0.1,0.7169667551086263,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.8294850443280108,0.8823529411764706,0.9803694871484758,0.7301334296008448,0.9701492537313433,1.0,1.0,0.0,0.7209302325581395,1.0,1.0,1.0,1.0
6,0.9236955513481272,0.7857142857142857,0.9307432611265215,0.7379986808106577,0.9879518072289156,1.0,1.0,1.0,0.7695852534562212,1.0,0.9877675840978594,1.0,1.0
7,0.7764552769513984,0.77,0.9664806332513833,0.7651511955887276,0.9696969696969697,1.0,0.6774193548387097,0.0,0.6871508379888268,1.0,1.0,1.0,1.0
8,0.9269445221780653,0.8311688311688312,0.9295741225584624,0.7366683054080259,0.9868421052631579,1.0,1.0,1.0,0.7570498915401301,1.0,0.9914772727272727,1.0,1.0
9,0.809822891357772,0.78125,0.9460252121913333,0.7618969401830431,0.9578947368421052,0.9787234042553191,1.0,0.0,0.6754850088183422,1.0,1.0,1.0,1.0
10,0.9004697394953649,0.8554216867469879,0.9022416843859384,0.7513006179146149,1.0,1.0,1.0,0.65,0.8158995815899581,1.0,1.0,1.0,1.0
11,0.5951008774008226,0.07142857142857142,0.6919404984799614,0.25,0.07272727272727275,0.07407407407407407,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.6014524859500122,0.08333333333333333,0.7133062093653153,0.25,0.08510638297872342,0.08695652173913038,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.5951008774008226,0.07142857142857142,0.6919404984799614,0.25,0.07272727272727275,0.07407407407407407,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,0.7775622724057444,0.8260869565217391,1.0,0.7699156589034215,0.9560439560439561,0.9777777777777777,0.6511627906976745,0.0,0.6779026217228464,1.0,0.9973684210526316,1.0,1.0
15,0.6014524859500122,0.08333333333333333,0.7133062093653153,0.25,0.08510638297872342,0.08695652173913038,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,0.6014524859500122,0.08333333333333333,0.7133062093653153,0.25,0.08510638297872342,0.08695652173913038,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.9422662749953861,0.8734177215189873,0.9441857081144963,0.7551325816516261,1.0,1.0,1.0,1.0,0.8125,1.0,1.0,1.0,1.0
18,0.9269445221780653,0.8311688311688312,0.9295741225584624,0.7366683054080259,0.9868421052631579,1.0,1.0,1.0,0.7570498915401301,1.0,0.9914772727272727,1.0,1.0
19,0.8078698029543925,0.7976190476190477,0.9502128574311515,0.7398515267895811,0.9879518072289156,1.0,1.0,0.0,0.5930735930735931,1.0,1.0,1.0,1.0
20,0.8117111031618186,0.8142857142857143,0.9609281293960082,0.7134643503246798,0.9710144927536232,1.0,1.0,0.0,0.6464646464646464,1.0,1.0,1.0,1.0
21,0.6037845531575804,0.1,0.7169667551086263,0.1981203125901445,0.10344827586206895,0.1071428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,0.9027531227399774,0.8555555555555555,0.9993107488394275,0.765988737732649,1.0,1.0,1.0,0.65,0.7293233082706767,1.0,1.0,1.0,1.0
23,0.8291476175562099,0.8227848101265823,0.92948722737535,0.7272030176414944,0.9871794871794872,1.0,1.0,0.0,0.8082788671023965,1.0,1.0,1.0,1.0
24,0.9311411445208524,0.8076923076923077,0.9721067943614186,0.7307639592384054,1.0,1.0,1.0,1.0,0.768888888888889,1.0,0.9884057971014493,1.0,1.0
25,0.9354848210541677,0.8108108108108109,0.8956490467217207,0.722955699412526,1.0,1.0,1.0,1.0,0.8829268292682927,1.0,1.0,1.0,1.0
26,0.8123329019167933,0.7746478873239436,0.9651800030458659,0.7000219990777792,1.0,1.0,1.0,0.0,0.6610169491525424,1.0,1.0,1.0,1.0
27,0.5951008774008226,0.07142857142857142,0.6919404984799614,0.25,0.07272727272727275,0.07407407407407407,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,0.6014524859500122,0.08333333333333333,0.7133062093653153,0.25,0.08510638297872342,0.08695652173913038,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.8974016941241915,0.8809523809523809,0.9571378335067546,0.7651782381119827,1.0,1.0,0.620253164556962,1.0,0.8,1.0,1.0,1.0,1.0
30,0.7511880607655121,0.6936936936936937,1.0,0.7559530497469378,0.9181818181818182,0.9724770642201835,0.6808510638297872,0.0,0.5859969558599696,1.0,0.9915074309978769,1.0,1.0
31,0.8148314768347312,0.7752808988764045,0.9649857248278766,0.7460967133107382,0.9659090909090909,0.9885057471264368,1.0,0.0,0.7040169133192389,1.0,1.0,1.0,1.0
32,0.9342866213072968,0.8484848484848485,0.9526588077186146,0.709404325570185,1.0,1.0,1.0,1.0,0.7873417721518987,1.0,1.0,1.0,1.0
33,0.8156049758687098,0.7790697674418605,0.928420893317597,0.7425644351650625,0.9411764705882353,0.9761904761904762,1.0,0.0,0.7916666666666666,1.0,1.0,1.0,1.0
34,0.9175947612341203,0.7634408602150538,0.9624595070113438,0.7498348211378447,0.9456521739130435,0.989010989010989,1.0,1.0,0.751937984496124,1.0,0.9948051948051948,1.0,1.0
35,0.8268415529182104,0.8441558441558441,0.9507360588705845,0.7431618119015324,1.0,1.0,1.0,0.0,0.7136258660508084,1.0,1.0,1.0,1.0
36,0.8082837874964567,0.7945205479452054,0.9496067061724812,0.7171877445027182,0.9861111111111112,1.0,1.0,0.0,0.6213592233009708,1.0,1.0,1.0,1.0
37,0.9452155566874599,0.9333333333333333,0.944673436938233,0.7606775238083793,1.0,1.0,1.0,1.0,0.780952380952381,1.0,0.9937304075235109,1.0,1.0
