variant,retention_ratio,retained_documents,mean_hdqs,pii_like_hits,perplexity_mean,status
raw_noisy_baseline,1.0,102,0.8082002142935474,39,294610.2230331491,trained
clean_only,0.9452660054102795,102,0.8486843191663868,39,,data_only
pii_redact_only,0.9924706943192065,102,0.8069924493630979,0,,data_only
exact_dedup_only,0.7643372407574391,74,0.8427568647356982,33,,data_only
near_dedup_only,0.659941388638413,64,0.8502522525789185,27,,data_only
jaccard_near_dedup_only,0.659941388638413,64,0.8502522525789185,27,,data_only
rule_filter_only,0.8504508566275925,80,0.864505278222692,39,,data_only
rule_quality_filter,0.8504508566275925,80,0.864505278222692,39,,data_only
perplexity_filter_proxy,0.4574165915238954,44,0.9116002651343742,18,,data_only
proxy_perplexity_filter,0.4574165915238954,44,0.9116002651343742,18,,data_only
hdqs_filter,0.7498422001803426,72,0.8751028584282857,21,289463.5262457789,trained
hdqs_curriculum,0.7498422001803426,72,0.8751028584282857,21,289463.5262457789,trained
full_pipeline_without_clean,0.6010820559062218,58,0.8679635339405667,0,,data_only
full_pipeline_without_redact,0.5953787195671776,60,0.9175787884509886,27,,data_only
full_pipeline_without_exact_dedup,0.5660054102795311,58,0.9118222918375225,0,,data_only
full_pipeline_without_near_dedup,0.6350090171325519,65,0.9114230362261059,0,,data_only
full_without_hdqs,0.5901487826871055,60,0.9077680041976565,0,,data_only
full_pipeline,0.5660054102795311,58,0.9118222918375225,0,287764.94105306646,trained
full_pipeline_without_hdqs,0.5901487826871055,60,0.9077680041976565,0,275532.6867047823,trained
minhash_lsh_near_dedup_only,0.659941388638413,64,0.8502522525789185,27,,data_only
random_retention_matched_baseline,0.5781785392245266,58,0.8010697295249538,24,,data_only
length_matched_baseline,0.6491659152389541,58,0.8561316897543153,39,,data_only
quality_retention_matched_baseline,0.601961226330027,58,0.8910767836708475,21,,data_only
