variant,seed,metric,value,final_val_loss,next_char_accuracy
raw_noisy_baseline,23,final_val_perplexity,276524.5947006706,12.530055046081543,0.013671875
raw_noisy_baseline,42,final_val_perplexity,204242.96380666696,12.227065563201904,0.0234375
raw_noisy_baseline,3407,final_val_perplexity,403063.1105921097,12.906848430633545,0.033203125
hdqs_filter,23,final_val_perplexity,287726.61206439364,12.5697660446167,0.015625
hdqs_filter,42,final_val_perplexity,197283.22924457138,12.192395687103271,0.03125
hdqs_filter,3407,final_val_perplexity,383380.73742837174,12.856783866882324,0.033203125
hdqs_curriculum,23,final_val_perplexity,287726.61206439364,12.5697660446167,0.015625
hdqs_curriculum,42,final_val_perplexity,197283.22924457138,12.192395687103271,0.03125
hdqs_curriculum,3407,final_val_perplexity,383380.73742837174,12.856783866882324,0.033203125
full_pipeline_without_hdqs,23,final_val_perplexity,260797.60348244422,12.471499919891357,0.0234375
full_pipeline_without_hdqs,42,final_val_perplexity,178483.30512878165,12.092250347137451,0.025390625
full_pipeline_without_hdqs,3407,final_val_perplexity,387317.15150312096,12.86699914932251,0.033203125
full_pipeline,23,final_val_perplexity,264183.6529885699,12.484399795532227,0.0234375
full_pipeline,42,final_val_perplexity,180317.2825437217,12.102473258972168,0.025390625
full_pipeline,3407,final_val_perplexity,418793.88762690773,12.945134162902832,0.033203125
