variant,documents,duplicate_documents,pii_like_hits,mean_hdqs
raw_noisy_baseline,93,21,39,0.8334314550043062
clean_only,93,21,39,0.8691762508254504
pii_redact_only,93,21,0,0.8313706361572665
exact_dedup_only,72,0,33,0.8555469597165857
near_dedup_only,62,0,27,0.8647942156949819
jaccard_near_dedup_only,62,0,27,0.8647942156949819
rule_filter_only,80,12,39,0.8702598956828416
rule_quality_filter,80,12,39,0.8702598956828416
perplexity_filter_proxy,52,8,21,0.9069926374778416
proxy_perplexity_filter,52,8,21,0.9069926374778416
hdqs_filter,73,11,24,0.8802456992815094
hdqs_curriculum,73,11,24,0.8802456992815094
full_pipeline_without_clean,57,0,0,0.8748786311286871
full_pipeline_without_redact,60,0,27,0.9131317417301255
full_pipeline_without_exact_dedup,57,0,0,0.9097148834162351
full_pipeline_without_near_dedup,64,0,0,0.9090274825018975
full_without_hdqs,60,0,0,0.9037563212922757
full_pipeline,57,0,0,0.9097148834162351
minhash_lsh_near_dedup_only,62,0,27,0.8647942156949819
random_retention_matched_baseline,57,12,33,0.8302623154279124
length_matched_baseline,57,9,39,0.8479223770042881
quality_retention_matched_baseline,57,8,24,0.9000783170125188
