variant,seed,step,train_loss,train_next_char_accuracy,val_loss,val_next_char_accuracy
raw_noisy_baseline,23,0,15.476024150848389,0.048828125,15.636262893676758,0.025390625
raw_noisy_baseline,23,4,14.43773078918457,0.021484375,14.201064109802246,0.02734375
raw_noisy_baseline,23,8,12.628420352935791,0.0234375,12.328615188598633,0.029296875
rule_filter_only,23,0,15.604989051818848,0.02734375,15.636262893676758,0.025390625
rule_filter_only,23,4,14.506433963775635,0.013671875,14.277974128723145,0.029296875
rule_filter_only,23,8,12.858680725097656,0.017578125,12.415561199188232,0.029296875
hdqs_filter,23,0,16.149017333984375,0.013671875,15.636262893676758,0.025390625
hdqs_filter,23,4,14.01065731048584,0.02734375,14.209687232971191,0.029296875
hdqs_filter,23,8,12.723582744598389,0.01953125,12.331533908843994,0.029296875
full_pipeline,23,0,15.494202613830566,0.02734375,15.636262893676758,0.025390625
full_pipeline,23,4,14.359843254089355,0.01953125,14.193333148956299,0.029296875
full_pipeline,23,8,12.534553527832031,0.033203125,12.296938419342041,0.029296875
