ablation_name,variant,dataset_key,dataset_status,dataset_scope,input_documents,output_documents,retention_rate,input_tokens,output_tokens,source_run_ids,tokenizer_hash,vocab_size,parameter_count,evaluated_validation_tokens,metric,status,safe_claim_level,claim_boundary,delta_output_tokens_vs_full,delta_retention_vs_full
full_HDQS++,full_HDQS++,wikitext2_paper,real_local_nonfallback,official_split,629,378,0.6009538950715422,2229442,899616,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,0,0.0
without_privacy_PII,without_privacy_PII,wikitext2_paper,real_local_nonfallback,official_split,629,378,0.6009538950715422,2229442,899616,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,0,0.0
without_dedup,without_dedup,wikitext2_paper,real_local_nonfallback,official_split,629,378,0.6009538950715422,2229442,899616,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,0,0.0
without_repetition,without_repetition,wikitext2_paper,real_local_nonfallback,official_split,629,378,0.6009538950715422,2229442,904192,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,4576,0.0
without_readability_quality,without_readability_quality,wikitext2_paper,real_local_nonfallback,official_split,629,378,0.6009538950715422,2229442,1120410,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,220794,0.0
without_curriculum,without_curriculum,wikitext2_paper,real_local_nonfallback,official_split,629,378,0.6009538950715422,2229442,899616,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,0,0.0
quality_only,quality_only,wikitext2_paper,real_local_nonfallback,official_split,629,378,0.6009538950715422,2229442,899616,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,0,0.0
dedup_only,dedup_only,wikitext2_paper,real_local_nonfallback,official_split,629,624,0.9920508744038156,2229442,2229402,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,1329786,0.3910969793322734
privacy_only,privacy_only,wikitext2_paper,real_local_nonfallback,official_split,629,378,0.6009538950715422,2229442,1420364,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,520748,0.0
random_same_keep_rate,random_same_keep_rate,wikitext2_paper,real_local_nonfallback,official_split,629,377,0.5993640699523053,2229442,1374728,train:wikitext2_paper:small:raw:13:completed_training:2026-06-04T07:47:19+00:00;train:wikitext2_paper:small:hdqspp:13:completed_training:2026-06-04T07:48:11+00:00;train:wikitext2_paper:small:raw:1:completed_training:2026-06-04T08:30:31+00:00;train:wikitext2_paper:small:random_same_keep_rate:1:completed_training:2026-06-04T08:31:11+00:00;train:wikitext2_paper:small:length_filter:1:completed_training:2026-06-04T08:31:51+00:00;train:wikitext2_paper:small:dedup_only:1:completed_training:2026-06-04T08:32:33+00:00;train:wikitext2_paper:small:hdqspp:1:completed_training:2026-06-04T08:33:29+00:00;train:wikitext2_paper:small:raw:2:completed_training:2026-06-04T08:34:11+00:00;train:wikitext2_paper:small:random_same_keep_rate:2:completed_training:2026-06-04T08:34:52+00:00;train:wikitext2_paper:small:length_filter:2:completed_training:2026-06-04T08:35:31+00:00;train:wikitext2_paper:small:dedup_only:2:completed_training:2026-06-04T08:36:03+00:00;train:wikitext2_paper:small:hdqspp:2:completed_training:2026-06-04T08:36:50+00:00;train:wikitext2_paper:small:raw:3:completed_training:2026-06-04T08:37:19+00:00;train:wikitext2_paper:small:random_same_keep_rate:3:completed_training:2026-06-04T08:37:49+00:00;train:wikitext2_paper:small:length_filter:3:completed_training:2026-06-04T08:38:18+00:00;train:wikitext2_paper:small:dedup_only:3:completed_training:2026-06-04T08:38:48+00:00;train:wikitext2_paper:small:hdqspp:3:completed_training:2026-06-04T08:39:33+00:00,,,,0,output_tokens,real_dev_filtering_ablation,filtering_effect_only_not_model_quality_claim,real dev data-filter ablation; not a model-improvement claim,475112,-0.0015898251192368873
